iter	Passed	Remaining
0	139	13771
1	140	6871
2	141	4568
3	142	3418
4	143	2725
5	144	2264
6	145	1935
7	146	1687
8	147	1494
9	148	1339
10	149	1213
11	151	1107
12	152	1017
13	153	940
14	153	871
15	154	813
16	155	761
17	157	715
18	158	673
19	159	636
20	160	602
21	161	572
22	162	543
23	163	517
24	164	493
25	165	471
26	166	450
27	167	431
28	168	413
29	169	396
30	171	380
31	172	365
32	173	351
33	174	338
34	175	325
35	176	313
36	177	302
37	178	291
38	179	281
39	180	271
40	181	261
41	183	252
42	184	244
43	185	236
44	186	228
45	187	220
46	188	212
47	189	205
48	190	198
49	192	192
50	193	185
51	194	179
52	195	173
53	196	167
54	197	161
55	199	156
56	200	151
57	201	145
58	202	140
59	203	135
60	204	130
61	205	126
62	206	121
63	207	116
64	208	112
65	209	108
66	211	103
67	212	99
68	213	95
69	214	91
70	215	88
71	216	84
72	217	80
73	218	76
74	219	73
75	220	69
76	222	66
77	223	62
78	224	59
79	225	56
80	226	53
81	227	49
82	228	46
83	229	43
84	230	40
85	232	37
86	233	34
87	234	31
88	235	29
89	236	26
90	237	23
91	238	20
92	239	18
93	240	15
94	241	12
95	242	10
96	244	7
97	245	5
98	246	2
99	247	0
