iter	MultiRMSE
0	344.1283051
1	322.7862544
2	300.4472505
3	282.0509796
4	264.421704
5	248.8868531
6	233.7469417
7	220.0987672
8	206.1465257
9	196.9614907
10	187.0618556
11	177.1180619
12	167.4258773
13	160.6848114
14	153.1267524
15	146.9727543
16	141.839887
17	137.0674104
18	131.8903891
19	126.8122577
20	123.1056277
21	119.5685597
22	116.0957064
23	113.6277788
24	109.3428988
25	107.4586344
26	104.1633687
27	102.2534316
28	100.4039216
29	98.16766297
30	96.94372889
31	95.07670023
32	93.63399789
33	92.66684982
34	91.43413558
35	89.48132419
36	87.77038421
37	86.80827589
38	85.74749969
39	84.96893187
40	83.30850361
41	82.5550611
42	80.94419527
43	80.28233691
44	79.34826995
45	78.35928588
46	77.68344512
47	77.15346313
48	76.50489028
49	75.7936829
50	75.25214536
51	74.57594091
52	73.28481734
53	72.2811519
54	71.79627014
55	70.49815481
56	69.9186604
57	68.72779876
58	68.26180725
59	67.34092986
60	66.00883723
61	65.14258642
62	64.57873811
63	63.54738694
64	63.04300246
65	62.18322237
66	61.22630065
67	60.84572144
68	60.26339282
69	59.36003441
70	59.12065716
71	58.33169053
72	57.77045203
73	56.95341805
74	56.13863031
75	55.54589725
76	55.18849674
77	54.81105116
78	54.1600669
79	53.47975039
80	53.16598819
81	52.60212676
82	52.28054525
83	51.76767328
84	51.29098321
85	50.7962578
86	50.23282876
87	49.78177117
88	49.29223644
89	48.74670409
90	48.27345563
91	48.03161948
92	47.6353508
93	47.06477703
94	46.71652868
95	46.45236571
96	45.88099168
97	45.54774824
98	45.3053018
99	44.75354072
